id;seguradora
"39";"."
"1";"Ace"
"2";"AIG"
"3";"Akad Seguros"
"4";"Alfa"
"5";"Allianz"
"6";"Allianz Desativado"
"7";"Allianz Desativado"
"8";"Allianz Desativado"
"9";"American Life"
"10";"Apvs Truck"
"11";"Assurant"
"12";"AXA Seguros"
"13";"Azul"
"14";"Bradesco"
"15";"Brasil"
"16";"Caixa"
"17";"Chubb"
"18";"Confiança"
"19";"DARWIN SEGUROS S/A"
"20";"Essor"
"21";"Ezze Seguros"
"22";"Gefco"
"23";"Generali"
"24";"Gente"
"25";"HDI"
"26";"Indiana"
"27";"Investprev"
"28";"Itaú"
"29";"Kovr"
"30";"Lions"
"31";"Localiza"
"32";"LTI Seguros"
"33";"Maestro"
"34";"Mapfre"
"35";"Mitsui"
"36";"Mutual"
"37";"Nobre"
"38";"Pier"
"40";"Porto"
"41";"PROAUTO"
"42";"Sancor"
"43";"Santander Auto"
"44";"Sompo"
"45";"Starr"
"46";"Suhai"
"47";"SUICA "
"48";"Sul America"
"49";"Sura"
"50";"Tokio"
"51";"Too seguros"
"52";"Unibras"
"53";"Usebens"
"54";"Yasuda"
"55";"Yelum"
"56";"Zurich"
